"id_sexo","sexo","id_jurisdiccion","jurisdiccion","anio","jurisdiccion_tasa_sifilis"
2,"mujeres","46","La Rioja",2018,5.2
2,"mujeres","46","La Rioja",2019,23.1
2,"mujeres","46","La Rioja",2020,7.6
2,"mujeres","50","Mendoza",2018,51
2,"mujeres","50","Mendoza",2019,72.9
2,"mujeres","50","Mendoza",2020,30.3
2,"mujeres","54","Misiones",2018,14.6
2,"mujeres","54","Misiones",2019,73.5
2,"mujeres","54","Misiones",2020,22
2,"mujeres","58","Neuquén",2018,15.7
2,"mujeres","58","Neuquén",2019,30.3
2,"mujeres","58","Neuquén",2020,19.8
2,"mujeres","62","Río Negro",2018,19.4
2,"mujeres","62","Río Negro",2019,30.3
2,"mujeres","62","Río Negro",2020,22.1
2,"mujeres","66","Salta",2018,28.7
2,"mujeres","66","Salta",2019,27
2,"mujeres","66","Salta",2020,18.2
2,"mujeres","70","San Juan",2018,53.4
2,"mujeres","70","San Juan",2019,78.5
2,"mujeres","70","San Juan",2020,47
2,"mujeres","74","San Luis",2018,56.4
2,"mujeres","74","San Luis",2019,91.3
2,"mujeres","74","San Luis",2020,78.5
2,"mujeres","78","Santa Cruz",2018,5.9
2,"mujeres","78","Santa Cruz",2019,12.7
2,"mujeres","78","Santa Cruz",2020,8.4
2,"mujeres","82","Santa Fe",2018,5.8
2,"mujeres","82","Santa Fe",2019,4.8
2,"mujeres","82","Santa Fe",2020,4
2,"mujeres","86","Santiago del Estero",2018,28.1
2,"mujeres","86","Santiago del Estero",2019,58.8
2,"mujeres","86","Santiago del Estero",2020,30.9
2,"mujeres","94","Tierra del Fuego",2018,24.7
2,"mujeres","94","Tierra del Fuego",2019,26.5
2,"mujeres","94","Tierra del Fuego",2020,16.5
2,"mujeres","90","Tucumán",2018,11.6
2,"mujeres","90","Tucumán",2019,21.1
2,"mujeres","90","Tucumán",2020,10.5
1,"varones","200","ARG",2018,29.7
1,"varones","200","ARG",2019,48.1
1,"varones","200","ARG",2020,18.8
1,"varones","02","CABA",2018,40.3
1,"varones","02","CABA",2019,57.1
1,"varones","02","CABA",2020,20.6
1,"varones","06","Buenos Aires",2018,41.2
1,"varones","06","Buenos Aires",2019,68.8
1,"varones","06","Buenos Aires",2020,19.3
1,"varones","10","Catamarca",2018,10.8
1,"varones","10","Catamarca",2019,5.8
1,"varones","10","Catamarca",2020,8.2
1,"varones","22","Chaco",2018,26.3
1,"varones","22","Chaco",2019,60
1,"varones","22","Chaco",2020,32.5
1,"varones","26","Chubut",2018,23.4
1,"varones","26","Chubut",2019,24.3
1,"varones","26","Chubut",2020,14.8
1,"varones","14","Córdoba",2018,31.8
1,"varones","14","Córdoba",2019,32.9
1,"varones","14","Córdoba",2020,15.4
1,"varones","18","Corrientes",2018,6.4
1,"varones","18","Corrientes",2019,18.4
1,"varones","18","Corrientes",2020,15.4
1,"varones","30","Entre Ríos",2018,81.4
1,"varones","30","Entre Ríos",2019,109.4
1,"varones","30","Entre Ríos",2020,24.1
1,"varones","34","Formosa",2018,4.7
1,"varones","34","Formosa",2019,9
1,"varones","34","Formosa",2020,14.9
1,"varones","38","Jujuy",2018,12.6
1,"varones","38","Jujuy",2019,43.3
1,"varones","38","Jujuy",2020,34.7
1,"varones","42","La Pampa",2018,42.9
1,"varones","42","La Pampa",2019,51.6
1,"varones","42","La Pampa",2020,42.2
1,"varones","46","La Rioja",2018,3.1
1,"varones","46","La Rioja",2019,10.3
1,"varones","46","La Rioja",2020,7.7
1,"varones","50","Mendoza",2018,30.7
1,"varones","50","Mendoza",2019,52.5
1,"varones","50","Mendoza",2020,27
1,"varones","54","Misiones",2018,6.7
1,"varones","54","Misiones",2019,15.1
1,"varones","54","Misiones",2020,14.6
1,"varones","58","Neuquén",2018,19.9
1,"varones","58","Neuquén",2019,36.2
1,"varones","58","Neuquén",2020,19.4
1,"varones","62","Río Negro",2018,17.9
1,"varones","62","Río Negro",2019,36.4
1,"varones","62","Río Negro",2020,21.2
1,"varones","66","Salta",2018,10.2
1,"varones","66","Salta",2019,30.3
1,"varones","66","Salta",2020,18.9
1,"varones","70","San Juan",2018,19.8
1,"varones","70","San Juan",2019,44.1
1,"varones","70","San Juan",2020,36.1
1,"varones","74","San Luis",2018,36.2
1,"varones","74","San Luis",2019,88.8
1,"varones","74","San Luis",2020,89.6
1,"varones","78","Santa Cruz",2018,5.6
1,"varones","78","Santa Cruz",2019,7.6
1,"varones","78","Santa Cruz",2020,14.4
1,"varones","82","Santa Fe",2018,5.1
1,"varones","82","Santa Fe",2019,4.3
1,"varones","82","Santa Fe",2020,4
1,"varones","86","Santiago del Estero",2018,8.4
1,"varones","86","Santiago del Estero",2019,14.9
1,"varones","86","Santiago del Estero",2020,4.5
1,"varones","94","Tierra del Fuego",2018,20.2
1,"varones","94","Tierra del Fuego",2019,31.3
1,"varones","94","Tierra del Fuego",2020,14.7
1,"varones","90","Tucumán",2018,6.1
1,"varones","90","Tucumán",2019,12.7
1,"varones","90","Tucumán",2020,6.1
